PV (kWh),Load (kWh),Price ($/kWh)
0.0,1333.5,0.4317
0.0,1262.5,0.3624
0.0,1208.5,0.3464
0.0,1186.5,0.3376
0.0,1187.0,0.3308
0.0,1216.0,0.3237
0.0,1273.0,0.3466
139.5,1342.5,0.3897
636.0,1443.0,0.429
1286.5,1541.0,0.4529
1870.5,1600.0,0.4657
2274.0,1615.5,0.4645
2423.0,1600.5,0.4501
2336.5,1575.0,0.4251
2038.5,1552.5,0.4113
1607.0,1574.0,0.435
1111.0,1734.0,0.5536
601.0,1841.0,0.6273
177.5,1810.0,0.5808
0.0,1745.0,0.5543
0.0,1665.5,0.4933
0.0,1572.5,0.4432
0.0,1458.5,0.4219
0.0,1333.5,0.3923
0.0,1239.5,0.4248
0.0,1175.0,0.3694
0.0,1144.0,0.3381
0.0,1139.0,0.3254
0.0,1155.0,0.3116
0.0,1198.5,0.30670000000000003
0.0,1276.0,0.3607
139.5,1381.0,0.3519
636.0,1509.0,0.359
1286.5,1621.5,0.3944
1870.5,1676.0,0.3997
2274.0,1687.0,0.4054
2423.0,1688.0,0.4039
2336.5,1664.5,0.3986
2038.5,1644.0,0.3939
1607.0,1646.0,0.411
1111.0,1806.0,0.5375
601.0,1940.0,0.6877
177.5,1907.5,0.6665000000000001
0.0,1834.5,0.6284000000000001
0.0,1746.0,0.5655
0.0,1608.0,0.4756
0.0,1469.5,0.4047
0.0,1360.0,0.4033
0.0,1291.0,0.397
0.0,1256.5,0.3675
0.0,1250.0,0.3387
0.0,1271.0,0.3379
0.0,1326.0,0.3428
0.0,1469.5,0.405
0.0,1720.5,0.499
139.5,1835.0,0.5553
636.0,1853.0,0.5403
1286.5,1879.5,0.5544
1870.5,1897.5,0.5889
2274.0,1898.0,0.5853
2423.0,1873.5,0.5475
2336.5,1864.0,0.5165
2038.5,1848.0,0.5111
1607.0,1860.5,0.5146000000000001
1111.0,2007.5,0.6169
601.0,2146.0,0.76
177.5,2130.0,0.6847
0.0,2068.5,0.7812
0.0,1979.5,0.6225
0.0,1839.5,0.5106
0.0,1668.0,0.464
0.0,1535.0,0.4598
0.0,1435.5,0.413
0.0,1395.0,0.3879
0.0,1388.0,0.3783
0.0,1396.0,0.3653
0.0,1446.0,0.3679
0.0,1584.0,0.4148
0.0,1816.0,0.5009
139.5,1930.0,0.5454
636.0,1925.5,0.5281
1286.5,1925.0,0.5522
1870.5,1936.0,0.5805
